url,title,price,security,ceiling_height,Год постройки,district,residential_complex,furnished,parking,bathroom_type,apartment_condition,building_type,rooms,current_floor,total_floors,area_m2,address,district_lat,district_lon,apartment_lat,apartment_lon,coord_level
https://krisha.kz/a/show/1009645803,"1-комнатная квартира · 41 м² · 6/12 этаж, Е 882 7 — Айтматова. мечеть Ырыскелды кажы",23500000,"домофон, видеонаблюдение",3.0,2025,"Нуринский район, Астана, Казахстан",New City Life,без мебели,паркинг,совмещенный,Не указано,монолитный,1.0,6.0,12.0,41.0,Е 882 7 — Айтматова. мечеть Ырыскелды кажы,51.1,71.38,51.1,71.38,District
https://krisha.kz/a/show/1000673497,"3-комнатная квартира · 120.76 м², ул. Мангилик Ел, 57",128126360,"домофон, видеонаблюдение",3.0,2026,"Есильский район, Астана, Казахстан",Nexpo Aura,без мебели,Во дворе/не указано,2 с/у и более,Не указано,монолитный,3.0,6.0,11.0,120.76,"ул. Мангилик Ел, 57",51.12,71.43,51.0887521,71.4229612,Complex
https://krisha.kz/a/show/1009788247,"3-комнатная квартира · 87 м² · 21/26 этаж, Кабанбай батыра",71500000,"домофон, видеонаблюдение",2.7,2022,"Есильский район, Астана, Казахстан",Поколение Комфорт,полностью,паркинг,раздельный,"не новый, но аккуратный ремонт",монолитный,3.0,21.0,26.0,87.0,Кабанбай батыра,51.12,71.43,51.0847763,71.4010745,Address
https://krisha.kz/a/show/1009209790,"3-комнатная квартира · 87 м² · 11/12 этаж, Е-429 26",43500000,"кодовый замок, видеонаблюдение",3.0,2025,"Нуринский район, Астана, Казахстан",Park City Forum,без мебели,паркинг,2 с/у и более,черновая отделка,монолитный,3.0,11.0,12.0,87.0,Е-429 26,51.1,71.38,51.1426602,71.3593132,Address
https://krisha.kz/a/show/1009452660,"3-комнатная квартира · 83 м² · 7/9 этаж, Култегин 4",58000000,"охрана, домофон, видеонаблюдение, видеодомофон",3.0,2025,"Нуринский район, Астана, Казахстан",Green Town,без мебели,паркинг,2 с/у и более,Не указано,кирпичный,3.0,7.0,9.0,83.0,Култегин 4,51.1,71.38,51.1284611,71.3723383,Complex
https://krisha.kz/a/show/1006719535,"3-комнатная квартира · 125 м² · 15/36 этаж, Достык 5 — ТЦ Керуен, выставочный центр Корме",56700000,"домофон, видеонаблюдение, консьерж",3.0,2010,"Есильский район, Астана, Казахстан",Северное сияние,полностью,паркинг,2 с/у и более,"не новый, но аккуратный ремонт",монолитный,3.0,15.0,36.0,125.0,"Достык 5 — ТЦ Керуен, выставочный центр Корме",51.12,71.43,51.12,71.43,District
https://krisha.kz/a/show/1004942287,"2-комнатная квартира · 85 м² · 4/8 этаж, Чингиза Айтматова — Бизнес класс !!! Набережная , Small, КазГЮА",51500000,"охрана, кодовый замок, видеонаблюдение, видеодомофон",3.0,2019,"Нуринский район, Астана, Казахстан",ParkHouse,полностью,паркинг,2 с/у и более,"не новый, но аккуратный ремонт",монолитный,2.0,4.0,8.0,85.0,"Чингиза Айтматова — Бизнес класс !!! Набережная , Small, КазГЮА",51.1,71.38,51.1,71.38,District
https://krisha.kz/a/show/1004046823,"1-комнатная квартира · 45 м² · 2/12 этаж, Бейбарыс Султан 25",35000000,"домофон, видеонаблюдение",3.0,2020,"Сарыаркинский район, Астана, Казахстан",Rio de Janeiro,полностью,паркинг,совмещенный,Не указано,кирпичный,1.0,2.0,12.0,45.0,Бейбарыс Султан 25,51.17,71.41,51.1733154,71.3566505,Address
https://krisha.kz/a/show/1004699348,"3-комнатная квартира · 81.22 м², Е 908 23",48982587,"домофон, видеонаблюдение",2.7,2026,"Нуринский район, Астана, Казахстан",UIA.BIRLIK,без мебели,Во дворе/не указано,2 с/у и более,Не указано,монолитный,3.0,6.0,11.0,81.22,Е 908 23,51.1,71.38,51.1,71.38,District
https://krisha.kz/a/show/761716484,"3-комнатная квартира · 72.49 м², Е-321 6/2",46321110,"домофон, видеонаблюдение",3.0,2026,"Есильский район, Астана, Казахстан",Aisar,без мебели,Во дворе/не указано,2 с/у и более,Не указано,монолитный,3.0,6.0,11.0,72.49,Е-321 6/2,51.12,71.43,51.0890544,71.4434333,Address
